SYMBOL	GSE12251_logFC	GSE12251_PValue	GSE12251_adjP	GSE16879_logFC	GSE16879_PValue	GSE16879_adjP	GSE23597_logFC	GSE23597_PValue	GSE23597_adjP	GSE12251_direction	GSE16879_direction	GSE23597_direction	max_same_direction_cohorts	nominal_p_lt_0_05_cohorts
DAB2IP	0.425926990250001	0.00303872927184213	0.160990816800357	0.51440880170426	0.0232997835113933	0.486970819375164	0.0897354030486802	0.31102376296315	0.978703585101868	up_in_responders	up_in_responders	up_in_responders	3	2
NBAS	-1.47413741416887	0.00308462302475863	0.16232123568689	0.133742522557546	0.315199647986915	0.794145880268471	-0.678673723571988	0.0392284789170111	0.978703585101868	up_in_nonresponders	up_in_responders	up_in_nonresponders	2	2
STAT5B	-0.503093835139264	0.00311689653702449	0.162921910288541	-0.453044961803594	0.0848952111861039	0.604052967491513	-0.937976198286872	0.0312992929650665	0.978703585101868	up_in_nonresponders	up_in_nonresponders	up_in_nonresponders	3	2
GJA5	-1.24494380114747	0.00318242232903177	0.165084384098493	-0.562292861046948	0.312673134930762	0.792544975815453	-0.690837576928476	0.0244773812206567	0.978703585101868	up_in_nonresponders	up_in_nonresponders	up_in_nonresponders	3	2
IDH3A	0.432446528718601	0.00323397961298798	0.165647576765194	-0.763300316975165	0.0270562865736366	0.497077442343273	0.163700895747769	0.268412835178684	0.978703585101868	up_in_responders	up_in_nonresponders	up_in_responders	2	2
LOC105372394	-0.932437495735156	0.00323569477796484	0.165647576765194	-0.0458957571092143	0.928635752371781	0.985629900078343	-0.527454738901446	0.0192817077814961	0.978703585101868	up_in_nonresponders	up_in_nonresponders	up_in_nonresponders	3	2
RUNX1T1	1.05403117073069	0.00327169944359848	0.166091148633934	0.896052930287099	0.0521640462432582	0.550062847325683	-0.264583609587872	0.0477213637459088	0.978703585101868	up_in_responders	up_in_responders	up_in_nonresponders	2	2
XPO6	-0.595143131702923	0.00335251241811999	0.167855875879771	0.0840319026360054	0.511658443181188	0.877546663777512	-0.29446055781926	0.0274363966837231	0.978703585101868	up_in_nonresponders	up_in_responders	up_in_nonresponders	2	2
GIPC2	0.867603964839553	0.00335630027062064	0.167891781606755	0.518945518717278	0.0418477844286816	0.532386605902021	0.136245828941369	0.552453468479911	0.982702442133709	up_in_responders	up_in_responders	up_in_responders	3	2
ADAM8	-0.959247476636193	0.0033841708970712	0.168769345967398	-0.828021511280565	0.0349554873457709	0.517849409965518	-0.320033326800196	0.164274777191011	0.978703585101868	up_in_nonresponders	up_in_nonresponders	up_in_nonresponders	3	2
NUFIP1	1.31731731654909	0.00343454179524252	0.169756269049676	-0.349858378281765	0.0237473187767528	0.490591356926365	-0.055493557223131	0.533089324715985	0.982702442133709	up_in_responders	up_in_nonresponders	up_in_nonresponders	2	2
ZNF326	0.767940488405598	0.00345256463069484	0.169756269049676	0.720262039673272	0.0641914641202981	0.571804388059576	0.20859301154721	0.0406088144820015	0.978703585101868	up_in_responders	up_in_responders	up_in_responders	3	2
TYMS	0.528466783942015	0.00348220416214707	0.170906205175396	-0.213707485342947	0.181776594337258	0.705419420930336	-0.608454546942174	0.0490751775085166	0.978703585101868	up_in_responders	up_in_nonresponders	up_in_nonresponders	2	2
CAAP1	0.4139751041476	0.00358391023356507	0.172328904472292	0.203371699137729	0.204105844468792	0.721777912930018	0.217588861353592	0.0333938008657374	0.978703585101868	up_in_responders	up_in_responders	up_in_responders	3	2
BMPR1A	0.486837300884515	0.00358511929403015	0.172328904472292	0.639723601397941	0.0224787212085393	0.482785302659705	-0.152226476857049	0.220830368120933	0.978703585101868	up_in_responders	up_in_responders	up_in_nonresponders	2	2
C8G	-1.62431679405708	0.00358924971734238	0.172328904472292	1.80408797725206	0.0163097868281383	0.447659435154851	0.0342955950452057	0.951436761099258	0.997491272386048	up_in_nonresponders	up_in_responders	up_in_responders	2	2
TLR3	1.11342334995731	0.00359194451046381	0.172328904472292	0.435370053031445	0.0391227935042474	0.526338271369274	0.15197002948926	0.483822285426046	0.982702442133709	up_in_responders	up_in_responders	up_in_responders	3	2
SZT2	-0.731474454017139	0.00365146569236088	0.17336095925458	-0.894647152651447	0.0453833770490539	0.539747374686187	-0.103769524199583	0.383261913396671	0.981331378106774	up_in_nonresponders	up_in_nonresponders	up_in_nonresponders	3	2
TRPA1	-0.721761361935517	0.00365356214512384	0.17336095925458	-0.549139046800422	0.0455583929900409	0.539774735660426	-0.199768750722316	0.148949511722745	0.978703585101868	up_in_nonresponders	up_in_nonresponders	up_in_nonresponders	3	2
MRPL19	0.678560415793364	0.00366674615229553	0.17336095925458	-0.355420957900451	0.0427186428543961	0.533317517216821	0.178858505120287	0.180987147755495	0.978703585101868	up_in_responders	up_in_nonresponders	up_in_responders	2	2
MMP23B	0.823155734486932	0.00367173279957574	0.17336095925458	1.09085722837478	0.0294930040599074	0.50565778609692	0.0319629519790594	0.859676648374255	0.993177264546727	up_in_responders	up_in_responders	up_in_responders	3	2
CYP4A11	-1.08638605120014	0.00370180605139424	0.173879936305825	0.856330054530856	0.0780442794385115	0.595154592025493	-0.776759855199205	0.0497436253185906	0.978703585101868	up_in_nonresponders	up_in_responders	up_in_nonresponders	2	2
